reference,category,type,subject,date,notifying_country,classification,risk_decision
"2020.4155","poultry meat and poultry meat products","food","Salmonella spp. in fresh chicken quarters from Poland","08-10-2020 15:11:31","Lithuania","information notification for attention","not serious"
"2020.4153","fruits and vegetables","food","mandarins- Fenvalerate-Turkey","08-10-2020 14:58:20","Bulgaria","border rejection notification","serious"
"2020.4150","herbs and spices","food","Absence of Official certificate for chilli peppers from India","08-10-2020 14:02:54","Slovenia","border rejection notification","not serious"
"2020.4149","cereals and bakery products","food","Non-permitted colours Hershey's Kisses","08-10-2020 12:23:49","United Kingdom","border rejection notification","undecided"
"2020.4148","cereals and bakery products","food","Froot LoopsBreakfast Cereal","08-10-2020 11:50:47","United Kingdom","border rejection notification","not serious"
"2020.4142","cereals and bakery products","food","Rejected Chinese Rice Noodles - GMO","08-10-2020 09:26:16","Netherlands","border rejection notification","undecided"
"2020.4141","feed materials","feed","Salmonella spp in rape seed meal from Germany","08-10-2020 08:56:36","Germany","information notification for follow-up","not serious"
"2020.4140","herbs and spices","food","Aflatoxins in chili mix powder from Ethiopia","07-10-2020 17:39:05","Switzerland","alert notification","serious"
"2020.4139","feed materials","feed","aflatoxins in groundnut kernels from Argentina","07-10-2020 17:14:11","Germany","border rejection notification","serious"
"2020.4138","nuts, nut products and seeds","food","Aflatoxin in Brazil Organic Brazilnutkernels midget","07-10-2020 16:54:16","Netherlands","information notification for attention","serious"
"2020.4136","meat and meat products (other than poultry)","food","Salmonella Typhimurium in raw white sausage","07-10-2020 16:07:33","Poland","information notification for attention","serious"
"2020.4134","poultry meat and poultry meat products","food","Salmonella enterica ser. Enteritidis in chilled chicken fillets from Poland","07-10-2020 15:37:04","Poland","information notification for attention","serious"
"2020.4133","nuts, nut products and seeds","food","aflatoxin in groundnuts","07-10-2020 15:16:22","Netherlands","border rejection notification","serious"
"2020.4132","nuts, nut products and seeds","food","aflatoxin in groundnuts","07-10-2020 15:14:07","Netherlands","border rejection notification","serious"
"2020.4131","fruits and vegetables","food","Unauthorised substance Iprodione in frozen basil from Belgium.","07-10-2020 14:50:55","Finland","information notification for follow-up","undecided"
"2020.4128","other food product / mixed","food","Presence of non-authorized novel food Cassia angustifolia/Senna alexandrina Mill. in energy bars NaturHouse","07-10-2020 13:50:23","Belgium","information notification for follow-up","undecided"
"2020.4127","fruits and vegetables","food","Cypermethrin in peppers, other than sweet from Uganda","07-10-2020 13:48:28","Belgium","border rejection notification","serious"
"2020.4126","food contact materials","food contact material","Migration von primären aromatischen Aminen aus Suppenkelle aus China /// Migration of primary aromatic amines from ladle from China","07-10-2020 13:45:13","Germany","information notification for attention","serious"
"2020.4123","feed materials","feed","high content of enterobacteriaceae in fishmeal","07-10-2020 12:49:40","Spain","border rejection notification","not serious"
"2020.4122","herbs and spices","food","VTEC and Salmonella spp. in fenugreek leaves from India","07-10-2020 12:45:46","Germany","alert notification","serious"
"2020.4120","non-alcoholic beverages","food","Soft Drinks from USA rejected for presence of EDTA (E385)","07-10-2020 11:49:39","United Kingdom","border rejection notification","not serious"
"2020.4118","herbs and spices","food","Red Chilli Powder Hot from Sri Lanka rejected due to excess Aflatoxins","07-10-2020 11:43:44","United Kingdom","border rejection notification","serious"
"2020.4117","dietetic foods, food supplements and fortified foods","food","Products from Slovenia containing CBD oil","07-10-2020 11:39:48","Denmark","information notification for follow-up","undecided"
"2020.4113","non-alcoholic beverages","food","Soft Drink rejected due to excess Benzoic Acid","07-10-2020 10:39:05","United Kingdom","border rejection notification","not serious"
"2020.4112","non-alcoholic beverages","food","Soft Drink rejected due to excess Benzoic Acid","07-10-2020 10:30:43","United Kingdom","border rejection notification","not serious"
"2020.4110","fish and products thereof ","food","sospetto botulismo","07-10-2020 09:54:56","Italy","news","serious"
"2020.4109","meat and meat products (other than poultry)","food","Listeria monocytogenes in Lyoner from Germany","07-10-2020 09:47:41","Germany","information notification for attention","serious"
"2020.4105","cereals and bakery products","food","Possible mould growth in ginger bread","06-10-2020 16:49:03","Austria","information notification for follow-up","not serious"
"2020.4104","fish and products thereof ","food","Listeria Monocytogenes in Chilled Salmon Trimmings","06-10-2020 16:11:37","Italy","alert notification","serious"
"2020.4101","fruits and vegetables","food","Exceeding LMA pesticides in red hot peppers Turkey","06-10-2020 15:34:58","Romania","information notification for attention","serious"
"2020.4100","compound feeds","feed","too high level of copper in complete feed for laying hens","06-10-2020 15:14:53","Slovenia","information notification for attention","not serious"
"2020.4099","meat and meat products (other than poultry)","food","Benzo(a)pyren and PAH in pork sausage","06-10-2020 14:42:08","Slovakia","information notification for attention","serious"
"2020.4098","dietetic foods, food supplements and fortified foods","food","Food - Monitoring of Media - Information Notification for Attention","06-10-2020 14:25:06","United Kingdom","information notification for attention","serious"
"2020.4093","food contact materials","food contact material","High Levels of Primary Aromatic Amines in Black Nylon kitchen utensils from China","06-10-2020 12:30:22","Malta","border rejection notification","serious"
"2020.4091","poultry meat and poultry meat products","food","Salmonella in salted frozen chicken breast innerfillet from Brazil","06-10-2020 10:58:51","European Commission","border rejection notification","serious"
"2020.4086","soups, broths, sauces and condiments","food","Lactic acid bacteria and bulging in remoulade","05-10-2020 17:13:27","Denmark","information notification for follow-up","undecided"
"2020.4085","poultry meat and poultry meat products","food","Chilled poultry meat - Salmonella Enteritidis","05-10-2020 17:01:40","Poland","information notification for attention","serious"
"2020.4084","confectionery","food","too high content of trans fatty acids in candies from Poland","05-10-2020 17:01:23","Lithuania","information notification for follow-up","not serious"
"2020.4083","compound feeds","feed","too high level of copper in complete feed for chickens for fattening","05-10-2020 16:55:07","Slovenia","information notification for attention","not serious"
"2020.4082","feed materials","feed","Salmonella in dried chews","05-10-2020 16:36:59","Germany","information notification for attention","serious"
"2020.4081","poultry meat and poultry meat products","food","poultry meat - Salmonella","05-10-2020 15:37:39","France","alert notification","serious"
"2020.4079","nuts, nut products and seeds","food","Aflatoxins in Indian groundnuts","05-10-2020 15:09:24","Netherlands","border rejection notification","serious"
"2020.4077","meat and meat products (other than poultry)","food","STEC stx2 eae, E. coli O26 in beef burger","05-10-2020 14:25:31","Netherlands","information notification for attention","serious"
"2020.4075","fruits and vegetables","food","pepper- Fosthiazate-Turkey","05-10-2020 14:08:11","Bulgaria","border rejection notification","serious"
"2020.4072","food additives and flavourings","food","Use of an enzyme that has received a negative opinion from EFSA and has been withdrawn by the European Commission.","05-10-2020 13:47:59","France","information notification for follow-up","undecided"
"2020.4070","confectionery","food","Erstickungsgefahr bei Süßware (Geleebecher) aus China, via Italien /// suffocation risk as a result of the consumption of and E 401 - sodium alginate unauthorised in mini jelly cups from China, via Italy","05-10-2020 12:42:25","Germany","alert notification","serious"
"2020.4067","other food product / mixed","food","Salmonella spp. in devil's claw root powder from Germany","03-10-2020 14:33:32","Germany","alert notification","serious"
"2020.4066","poultry meat and poultry meat products","food","Salmonella  Infantis in frozen chicken drumsticks from Poland","02-10-2020 17:05:12","Bulgaria","information notification for follow-up","not serious"
"2020.4064","feed materials","feed","Salmonella enterica ser. Infantis (presence /25g) in frozen mechanically separated (MSM) chicken meat from Germany","02-10-2020 16:50:03","Belgium","information notification for follow-up","not serious"
"2020.4063","poultry meat and poultry meat products","food","Salmonella spp. in Mechanically separated meat (MSM) from Poland","02-10-2020 16:29:30","Croatia","alert notification","serious"
"2020.4062","fruits and vegetables","food","Salmonella and high count of Escherichia coli in frozen grated coconut from India","02-10-2020 16:23:45","United Kingdom","information notification for attention","serious"
"2020.4061","dietetic foods, food supplements and fortified foods","food","CBD products marketed towards Danish consumers from a homepage registered by a FBO in the Netherlands","02-10-2020 16:03:17","Denmark","information notification for follow-up","undecided"
"2020.4060","fish and products thereof ","food","Mercurio in pesce spada","02-10-2020 16:02:28","Italy","information notification for attention","serious"
"2020.4059","poultry meat and poultry meat products","food","Salmonella Agona in turkey meat","02-10-2020 15:42:29","Poland","information notification for follow-up","not serious"
"2020.4058","poultry meat and poultry meat products","food","Salmonella Infantis in Frozen chicken fillet","02-10-2020 15:38:23","Bulgaria","information notification for follow-up","not serious"
"2020.4052","fruits and vegetables","food","Sulfite in raisins from South Africa","02-10-2020 14:12:40","Netherlands","alert notification","serious"
"2020.4050","pet food","feed","Presence of large pieces of bone in pet food without warning for small animals on the label.","02-10-2020 14:10:59","Belgium","alert notification","serious"
"2020.4049","meat and meat products (other than poultry)","food","Salmonella spp. in raw, frozen pig casings from the Netherlands","02-10-2020 11:16:03","Germany","information notification for follow-up","not serious"
"2020.4046","food contact materials","food contact material","inner coating peeling off from lids of glass jars containing sushi ginger from Fiji","01-10-2020 17:16:41","Netherlands","information notification for follow-up","undecided"
"2020.4045","poultry meat and poultry meat products","food","Salmonella Enteritidis in chilled chicken fillets from Poland","01-10-2020 17:04:03","Lithuania","information notification for attention","serious"
"2020.4042","cereals and bakery products","food","buprofezin, tricyclazole, amitraz, carbendazim, methamidophos and thiamethoxam in basmati rice from the United Kingdom","01-10-2020 16:44:16","Italy","information notification for follow-up","undecided"
"2020.4041","other food product / mixed","food","Foreign bodies (metal residues) in bakery products from France","01-10-2020 15:55:09","Germany","alert notification","serious"
"2020.4039","herbs and spices","food","Salmonella in black pepper from Brazil","01-10-2020 15:36:22","Netherlands","border rejection notification","serious"
"2020.4038","feed materials","feed","Groundnuts for Bird Feed rejected for excess Aflatoxin B1","01-10-2020 15:29:46","United Kingdom","border rejection notification","serious"
"2020.4037","milk and milk products","food","Listeria monocytogenes in Ricotta (sheep's milk cheese) made in Italy","01-10-2020 14:55:58","France","alert notification","serious"
"2020.4036","dietetic foods, food supplements and fortified foods","food","ADDITIVES WITH NOT ALLOWED USE (E-385 AND E-127) IN FOOD SUPPLEMENT (KOLA GRANULADA TARRITO ROJO) FROM COLOMBIA  ","01-10-2020 14:51:13","Spain","information notification for follow-up","not serious"
"2020.4035","feed materials","feed","Bromuconazole in barley from Poland","01-10-2020 14:47:27","Germany","information notification for follow-up","undecided"
"2020.4034","meat and meat products (other than poultry)","food","Pork half carcasses (BE 171EG) - Salmonella spp.","01-10-2020 14:08:35","Poland","information notification for attention","not serious"
"2020.4032","pet food","feed","dog chews from Turkey unfit for animal nutrition","01-10-2020 13:12:34","United Kingdom","border rejection notification","not serious"
"2020.4028","fruits and vegetables","food","pepper-Formetanate, Pirimiphos-methyl-Turkey","01-10-2020 10:08:25","Bulgaria","border rejection notification","serious"
"2020.4024","food contact materials","food contact material","migration of melamine from mug from China","30-09-2020 18:04:21","Lithuania","information notification for follow-up","undecided"
"2020.4021","poultry meat and poultry meat products","food","Salmonella spp. in fresh chicken quarters from Poland","30-09-2020 17:05:11","Lithuania","information notification for attention","serious"
"2020.4020","poultry meat and poultry meat products","food","Salmonella Enteritidis in chilled chicken broiler quarters from Poland","30-09-2020 16:48:56","Lithuania","alert notification","serious"
"2020.4018","nuts, nut products and seeds","food","Aflatoxins in Argentine peanuts","30-09-2020 15:48:22","Netherlands","border rejection notification","serious"
"2020.4017","pet food","feed","Physical hygiene failure and document failure of pet food","30-09-2020 15:15:41","United Kingdom","border rejection notification","undecided"
"2020.4014","poultry meat and poultry meat products","food","Presence of salmonella Enteritidis in chicken fillet","30-09-2020 12:46:29","France","alert notification","serious"
"2020.4013","nuts, nut products and seeds","food","Aflatoxins in Turkish pistachio kernels","30-09-2020 12:04:10","Netherlands","border rejection notification","serious"
"2020.4010","feed materials","feed","Salmonella in feed from India","30-09-2020 11:28:58","Finland","information notification for attention","not serious"
"2020.4009","cereals and bakery products","food","Organic gluten free chickpea flour spirelli with gluten","30-09-2020 11:28:18","Austria","alert notification","no risk"
"2020.4008","bivalve molluscs and products thereof","food","presenza di parassiti in ostriche ","30-09-2020 11:12:39","Italy","information notification for follow-up","not serious"
"2020.4007","meat and meat products (other than poultry)","food","Non compliance documentation of horses  intented to slaughtering","30-09-2020 10:25:26","Croatia","alert notification","undecided"
"2020.4004","fish and products thereof ","food","Elevated Level of Histamine in Tuna Chunks","29-09-2020 20:31:58","Ireland","information notification for attention","serious"
"2020.4001","cocoa and cocoa preparations, coffee and tea","food","Insufficient allergen labeling of chocolate flowers from Spain","29-09-2020 17:33:20","Germany","alert notification","serious"
"2020.4000","herbs and spices","food","Lead in ginger root organic from Peru","29-09-2020 17:32:25","Netherlands","information notification for attention","serious"
"2020.3998","fish and products thereof ","food","high content of E 300 - ascorbic acid in thawed yellowfin tuna loins (Thunnus albacares) from Spain","29-09-2020 17:25:09","Italy","information notification for attention","not serious"
"2020.3997","fish and products thereof ","food","Listeria monocytogenes in heiß geräuchertem Stremellachs aus Polen /// Listeria monocytogenes in hot smoked salmon in strip from Poland","29-09-2020 17:22:16","Germany","information notification for attention","serious"
"2020.3996","feed materials","feed","Salmonella in rape seed meal from Germany","29-09-2020 17:17:48","Finland","information notification for follow-up","not serious"
"2020.3995","milk and milk products","food","Fremdkörper (Kunststofffragmente) in Kümmelkäse Scheiben aus Deutschland mit Rohware aus den Niederlanden /// Foreign bodies (plastic fragments) in caraway cheese slices from Germany with raw material from the Netherlands","29-09-2020 17:16:30","Germany","alert notification","serious"
"2020.3994","fish and products thereof ","food","Listeria monocytogenes in ritagli di salmone affumicato","29-09-2020 17:07:41","Italy","alert notification","serious"
"2020.3993","nuts, nut products and seeds","food","Ethylene Oxide in sesame seeds","29-09-2020 16:47:41","Belgium","alert notification","serious"
"2020.3991","meat and meat products (other than poultry)","food","Listeria monocytogenes in frozen roasted meatballs from Belgium","29-09-2020 16:21:32","Belgium","alert notification","serious"
"2020.3990","meat and meat products (other than poultry)","food","allergen gluten not mentioned on the packaging of meatloaf","29-09-2020 15:49:07","Belgium","alert notification","serious"
"2020.3822","fish and products thereof ","food","Similar listeria strains in FI as in other EU countries","29-09-2020 15:31:52","Finland","news","undecided"
"2020.3989","bivalve molluscs and products thereof","food","norovirus in frozen razor clams","29-09-2020 15:20:56","Italy","information notification for follow-up","undecided"
"2020.3988","dietetic foods, food supplements and fortified foods","food","Hoher Gehalt an Koffein und Synephrin sowie DMAE in Nahrungsergänzungsmittel aus dem Vereinigten Königreich, via die Niederlande /// High levels of caffeine and synephrine and DMAE in food supplement from the United Kingdom, via the Netherlands","29-09-2020 14:56:26","Germany","alert notification","serious"
"2020.3987","meat and meat products (other than poultry)","food","Undeclared allergen lupins in minced pork disc.","29-09-2020 14:48:34","Netherlands","alert notification","serious"
"2020.3985","herbs and spices","food","Salmonella Javiana and Salmonella Rubislaw in black pepper from Brazil","29-09-2020 14:15:07","Germany","border rejection notification","serious"
"2020.3984","herbs and spices","food","Salmonella Abaetetuba and Salmonella Cerro in black pepper from Brazil","29-09-2020 14:09:06","Germany","border rejection notification","serious"
"2020.3983","dietetic foods, food supplements and fortified foods","food","Undeclared aspartame (E951) in Cologran Stevia sweetener tablets (Stevia variant).","29-09-2020 13:58:39","United Kingdom","alert notification","serious"
"2020.3982","fruits and vegetables","food","pepper-Acetamiprid, Pyridaben-Turkey","29-09-2020 13:48:23","Bulgaria","border rejection notification","serious"
"2020.3981","meat and meat products (other than poultry)","food","Salmonella in minced meat from Denmark, origin Germany","29-09-2020 13:45:28","Finland","information notification for attention","serious"
"2020.3980","fruits and vegetables","food","Aubergines with dimethoate and omethoate residues","29-09-2020 13:18:26","Denmark","information notification for follow-up","undecided"
"2020.3979","fish and products thereof ","food"," ","29-09-2020 12:51:10","United Kingdom","information notification for attention","undecided"
"2020.3978","fruits and vegetables","food","Pesticide residue flonicamid in tomatoes from Poland","29-09-2020 12:49:22","Finland","information notification for attention","serious"
"2020.3977","poultry meat and poultry meat products","food","bulging  packaging","29-09-2020 12:43:40","Slovenia","information notification for follow-up","undecided"
"2020.3819","poultry meat and poultry meat products","food","Presence of Listeria monocytogenes","29-09-2020 11:59:45","Estonia","information notification for attention","undecided"
"2020.3972","fruits and vegetables","food","pepper-Pirimiphos-methyl,Lambda cyhalothrin -Turkey","29-09-2020 11:07:28","Bulgaria","border rejection notification","serious"
"2020.3439","poultry meat and poultry meat products","food","Presence of Listeria monocytogenes","29-09-2020 10:49:53","Estonia","information notification for attention","serious"
"2020.3971","fruits and vegetables","food","Ethephon in grapes from Italy ","29-09-2020 10:02:27","United Kingdom","information notification for attention","serious"
"2020.3970","fish and products thereof ","food","Listeria monocytogenes in chilled smoked salmon trimmings from Poland","29-09-2020 09:39:37","Italy","information notification for follow-up","undecided"
"2020.3969","prepared dishes and snacks","food","ADITIVOS PROHIBIDOS PARA EL TIPO DE PRODUCTO ALIMENTARIO","28-09-2020 18:06:47","Spain","border rejection notification","undecided"
"2020.3968","poultry meat and poultry meat products","food","Salmonella detected in Lidl 3 Game Roast with Pork, Apple & Apricot Stuffing, with a blood orange glaze (Sachet).","28-09-2020 17:35:51","United Kingdom","information notification for attention","serious"
"2020.3816","poultry meat and poultry meat products","food","Presence of Listeria monocytogenes","28-09-2020 17:24:25","Estonia","information notification for attention","undecided"
"2020.3967","meat and meat products (other than poultry)","food","Salmonella Typhimurium monophasic 4,5,12:i:- food poisoning cases related to horse meat","28-09-2020 17:21:27","France","news","serious"
"2020.3966","poultry meat and poultry meat products","food","Salmonella chicken meat preparation","28-09-2020 16:49:40","Belgium","alert notification","serious"
"2020.3965","poultry meat and poultry meat products","food","Salmonella Enteritidis and Salmonella Infantis in chilled chicken thighs from Poland","28-09-2020 16:40:27","Lithuania","information notification for attention","serious"
"2020.3964","dietetic foods, food supplements and fortified foods","food","Delta-9-THC in CBD-Vollspektrumöl aus den Niederlanden /// Delta-9-THC in CBD full spectrum oil from the Netherlands","28-09-2020 16:22:49","Germany","alert notification","undecided"
"2020.3963","bivalve molluscs and products thereof","food","E. Coli - Moules Bouchot (France)","28-09-2020 16:14:32","France","alert notification","serious"
"2020.3962","fish and products thereof ","food","Mercurio oltre i limiti in tonno rosso fresco","28-09-2020 15:59:08","Italy","alert notification","serious"
"2020.3961","poultry meat and poultry meat products","food","salmnonella agona  Iin turkey frozen meat ","28-09-2020 15:55:36","Italy","information notification for follow-up","not serious"
"2020.3757","dietetic foods, food supplements and fortified foods","food","Unauthorized Novel Food cannabidiol and Melatonin in food supplement from the United States","28-09-2020 15:42:13","Switzerland","information notification for follow-up","undecided"
"2020.3959","poultry meat and poultry meat products","food","Listeria monocytogenes in chilled chicken nuggets from Lithuania","28-09-2020 14:03:54","Estonia","information notification for follow-up","undecided"
"2020.3957","milk and milk products","food"," Pseudomonas spp. in mozzarella from Italy","28-09-2020 13:11:51","Italy","information notification for follow-up","undecided"
"2020.3956","pet food","feed","non compliance feed additives ","28-09-2020 12:15:56","Spain","border rejection notification","no risk"
"2020.3954","fruits and vegetables","food","Aflatoxin in organic dried figs from Turkey","28-09-2020 11:40:26","Norway","border rejection notification","serious"
"2020.3951","poultry meat and poultry meat products","food","Salmonella Typhimurium in fresh chicken meat from France","28-09-2020 10:41:44","France","alert notification","serious"
"2020.3949","fruits and vegetables","food","Ochratoxin-A in dried Turkish figs","28-09-2020 09:33:21","Netherlands","border rejection notification","serious"
"2020.3935","crustaceans and products thereof","food","Malachite green in Shrimps from Bangladesh","28-09-2020 09:13:51","France","alert notification","serious"
"2020.3946","fish and products thereof ","food","Carbon monoxide treated yellowfin tuna (Thunnus albacares) from Vietnam ","27-09-2020 17:47:37","Netherlands","border rejection notification","serious"
"2020.3945","nuts, nut products and seeds","food","Peanuts - Human Consumption - Aflatoxin contamination","25-09-2020 18:56:42","United Kingdom","border rejection notification","undecided"
"2020.3944","fish and products thereof ","food","Undeclared allergen (barley) in Iceland brand Fish Pie.","25-09-2020 18:17:27","United Kingdom","alert notification","serious"
"2020.3943","poultry meat and poultry meat products","food","Listeria monocytogenes in frozen cooked hen meat","25-09-2020 17:51:35","Belgium","alert notification","serious"
"2020.3942","poultry meat and poultry meat products","food","Salmonella enterica ser. Infantis in frozen chicken breast fillets from Poland","25-09-2020 17:12:47","Bulgaria","information notification for follow-up","not serious"
"2020.3941","fruits and vegetables","food","Flonicamid in Cucumber","25-09-2020 17:12:05","Netherlands","information notification for attention","serious"
"2020.3940","poultry meat and poultry meat products","food","Salmonella enterica ser. Infantis in chilled poultry meat from Romania","25-09-2020 16:32:21","Italy","information notification for attention","not serious"
"2020.3939","feed materials","feed","Salmonella in soybean meal","25-09-2020 16:19:31","Belgium","information notification for follow-up","not serious"
"2020.3937","soups, broths, sauces and condiments","food","milk ingredient (labelling not in English) undeclared on curry sauce from the United Kingdom","25-09-2020 15:54:39","United Kingdom","alert notification","serious"
"2020.3933","fish and products thereof ","food","Chlorate in frozen Pangasius fillets from Vietnam","25-09-2020 15:06:58","Switzerland","alert notification","serious"
"2020.3928","herbs and spices","food","Salmonella Muenchen and Salmonella Javiana in black pepper from Brazil","25-09-2020 13:51:25","Germany","border rejection notification","serious"
"2020.3927","poultry meat and poultry meat products","food","Chicken breast fillet - Salmonella Enteritidis","25-09-2020 13:45:54","Poland","alert notification","serious"
"2020.3925","herbs and spices","food","Salmonella Abaetetuba in schwarzem Pfeffer aus Brasilien /// Salmonella Abaetetuba in black pepper from Brazil","25-09-2020 12:25:23","Germany","border rejection notification","serious"
"2020.3921","fish and products thereof ","food","Rechazo por problemas de frío causados por deterioro del contenedor","25-09-2020 09:21:18","Spain","border rejection notification","undecided"
"2020.3920","fruits and vegetables","food","pepper-Acetamiprid -Turkey","25-09-2020 09:16:56","Bulgaria","border rejection notification","serious"
"2020.3918","poultry meat and poultry meat products","food","Salmonella Enteritidis in fresh poultry from Poland","24-09-2020 17:14:18","Lithuania","information notification for attention","serious"
"2020.3917","nuts, nut products and seeds","food","aflatoxins in groundnut kernels from Argentina","24-09-2020 17:14:08","United Kingdom","border rejection notification","serious"
"2020.3915","feed materials","feed","Haloxyfop in linseed from the Russian Federation","24-09-2020 17:00:39","Germany","information notification for attention","undecided"
"2020.3913","poultry meat and poultry meat products","food","Salmonella Enteritidis in broiler quarters from Poland","24-09-2020 16:33:34","Latvia","information notification for attention","serious"
"2020.3912","cereals and bakery products","food","'Lucky Charms Honey Clovers' Breakfast cereal rejected due to excess colours","24-09-2020 16:30:40","United Kingdom","border rejection notification","undecided"
"2020.3910","meat and meat products (other than poultry)","food","Foreign body in gyros rice pan from Belgium","24-09-2020 16:15:26","Germany","alert notification","serious"
"2020.3907","poultry meat and poultry meat products","food","Salmonella parathyphimurium in raw chicken fillets","24-09-2020 15:52:40","United Kingdom","information notification for attention","not serious"
"2020.3906","food additives and flavourings","food","Foreign Body found in Salt","24-09-2020 15:26:58","United Kingdom","alert notification","undecided"
"2020.3905","cocoa and cocoa preparations, coffee and tea","food","Undeclared milk protein and lactose in dark chocolate from the Czech Republic ","24-09-2020 15:24:05","Czech Republic","alert notification","serious"
"2020.3904","poultry meat and poultry meat products","food","Prezenta Listeria Monocytogenes in parizer cu piept de pui","24-09-2020 15:09:17","Romania","alert notification","serious"
"2020.3903","poultry meat and poultry meat products","food"," Presence of Salmonella spp. in poultry meat product ","24-09-2020 15:00:30","Greece","alert notification","serious"
"2020.3899","fruits and vegetables","food","Formetanate and Pyridaben in peppers from Turkey","24-09-2020 12:58:41","Bulgaria","border rejection notification","serious"
"2020.3756","dietetic foods, food supplements and fortified foods","food","unauthorised substance Nicotinamide Mononucleotide (NMN) in food supplement ","24-09-2020 12:38:21","Switzerland","information notification for follow-up","undecided"
"2020.3897","nuts, nut products and seeds","food","Aflatoxin B1 in groundnuts from Argentine","24-09-2020 11:41:55","Netherlands","border rejection notification","serious"
"2020.3896","nuts, nut products and seeds","food","Aflatoxins in Chinese peanuts","24-09-2020 11:34:22","Netherlands","border rejection notification","serious"
"2020.3895","nuts, nut products and seeds","food","Salmonella in hulled sesame seeds from India","24-09-2020 11:31:43","Netherlands","border rejection notification","serious"
"2020.3894","pet food","feed","Überlauf des Höchstwertes für Cadmium und Arsen in Komplementärfutter für Hunde","24-09-2020 11:03:28","Germany","alert notification","serious"
"2020.3893","fruits and vegetables","food","foglie di senape da Tailandia - E102 and sulfur dioxide in pickled mustard leaves from Thailand","24-09-2020 10:03:54","Italy","border rejection notification","not serious"
"2020.3891","food contact materials","food contact material","primary aromatic amines in nylon spatula","24-09-2020 09:18:53","Belgium","alert notification","serious"
"2020.3890","fruits and vegetables","food","Carbendazim in avocados from South Africa, via the Netherlands","24-09-2020 08:14:08","Germany","information notification for attention","undecided"
"2020.3664","feed materials","feed","Unapproved feed additive CBD in feed from the Netherlands","23-09-2020 17:38:15","Germany","information notification for attention","undecided"
"2020.3886","other food product / mixed","food","allergen soy not declared on vega pate","23-09-2020 17:19:50","Netherlands","alert notification","serious"
"2020.3883","poultry meat and poultry meat products","food","Pollo marinato con acqua aggiunta congelato","23-09-2020 16:42:41","Italy","alert notification","serious"
"2020.3882","bivalve molluscs and products thereof","food","too high count of Escherichia coli in live clams from Greece","23-09-2020 16:19:02","Italy","alert notification","serious"
"2020.3881","poultry meat and poultry meat products","food","Salmonella in fresh boneless and skinless broiler thigh meat from Poland","23-09-2020 16:12:34","Lithuania","alert notification","serious"
"2020.3880","fats and oils","food","unauthorised colours Sudan 1, Sudan 3 and Sudan 4 in palm oil from Senegal","23-09-2020 15:43:50","Italy","border rejection notification","serious"
"2020.3879","poultry meat and poultry meat products","food","Salmonella spp. in meat preparation  from Slovenia","23-09-2020 15:40:03","Croatia","information notification for attention","serious"
"2020.3878","feed materials","feed","Salmonella spp. in feed (insect meal) from China, via Austria","23-09-2020 15:36:44","Germany","information notification for follow-up","not serious"
"2020.3877","nuts, nut products and seeds","food","Sesame seeds - no identification code","23-09-2020 15:27:32","Poland","border rejection notification","undecided"
"2020.3876","cereals and bakery products","food","Lucky Charms breakfast cereals rejected due to excess colourings","23-09-2020 14:10:04","United Kingdom","border rejection notification","undecided"
"2020.3874","other food product / mixed","food","Aflatoxine in Wassermelonenkernen aus der Türkei /// Aflatoxins in watermelon seeds from Turkey","23-09-2020 12:26:54","Germany","information notification for attention","serious"
"2020.3873","fruits and vegetables","food","Chanterelle (Cantharellus Cibarius)","23-09-2020 12:16:35","Latvia","border rejection notification","no risk"
"2020.3872","nuts, nut products and seeds","food","sesame seeds - the presence of Salmonella bacteria","23-09-2020 12:02:08","Poland","border rejection notification","serious"
"2020.3871","confectionery","food","Stockley's recalls Fruit Sherbets because of undeclared milk","23-09-2020 11:37:28","United Kingdom","alert notification","serious"
"2020.3869","fish and products thereof ","food","Mercury in swordfish from Mozambique","23-09-2020 10:02:30","Germany","border rejection notification","serious"
"2020.3868","poultry meat and poultry meat products","food","Salmonella detected in Aldi's Rooster’s brand of Southern Fried Poppin’ Chicken, originating from Poland","22-09-2020 17:41:33","United Kingdom","alert notification","serious"
"2020.3867","fruits and vegetables","food","Hoher Gehalt an Aloin bei Aloe Vera Blättern /// High content of aloin in aloe vera leaves from France","22-09-2020 17:26:26","Germany","information notification for attention","serious"
"2020.3866","milk and milk products","food","Listeria in cheese Florence Provençale","22-09-2020 17:25:21","Belgium","alert notification","serious"
"2020.3865","bivalve molluscs and products thereof","food","cadmium in frozen squids (Illex argentinus) from Argentina","22-09-2020 17:24:34","European Commission","alert notification","serious"
"2020.3696","dietetic foods, food supplements and fortified foods","food","unauthorised novel ingredient \"DMAE\" and piperine at too high a concentration in food supplement from the Czech Republic","22-09-2020 16:52:47","Germany","information notification for follow-up","undecided"
"2020.3863","fruits and vegetables","food","Formetanat in hot green peppers from Macedonia","22-09-2020 16:26:19","Switzerland","information notification for attention","serious"
"2020.3861","fruits and vegetables","food","Formetanat in peppers peeper red from Albania","22-09-2020 15:35:42","Switzerland","information notification for attention","serious"
"2020.3860","fish and products thereof ","food","products of animal origin and peanut butter","22-09-2020 15:25:57","United Kingdom","border rejection notification","serious"
"2020.3859","dietetic foods, food supplements and fortified foods","food","Unauthorised anabolic-androgenic steroid 4,9-estradien-3,17-dion in food supplement delivered from Poland","22-09-2020 14:36:09","Czech Republic","alert notification","serious"
